Gender,Age,Hospital Type,Visit Type,Waiting Time,Nurse Staff Behaviour,Doctor Communication,Hospital Cleanliness,Overall Satisfaction,Return Intention,Biggest Problem,Recommendation,Treatment Quality,Waiting Area Facilities,Respect Privacy,Medicine Explanation,Charges,Occupation,Age1,Nurse Staff Behaviour Score,Hospital Cleanliness Score,Overall_satisfaction_Avergae,Waiting Time Number
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Agree,Agree,Strongly Agree,3,1,Rude staff behavior,Maybe,4,Neutral,Neutral,Strongly Agree,Reasonable,Student,65,4,5,3.038461538,22
Female,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Neutral,Neutral,Neutral,3,3,Short consultation,Yes,3,Agree,Agree,Agree,Reasonable,Student,30,5,4,3.038461538,22
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Neutral,Strongly Agree,4,3,Short consultation,Yes,4,Neutral,Neutral,Neutral,Reasonable,Youtuber & Influencer,65,3,4,3.038461538,10
Female,25-35,Government,In-Patient (Admitted/Hospitalized),15-30 minutes,Agree,Strongly Agree,Agree,4,2,Long lines,Yes,3,Disagree,Neutral,Agree,Reasonable,Student,65,3,4,3.038461538,45
Female,25-35,Government,Emergency,15-30 minutes,Neutral,Strongly Agree,Neutral,3,2,Long lines,Yes,4,Neutral,Strongly Agree,Disagree,Expensive,Student,30,5,3,3.038461538,75
Male,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Neutral,Neutral,Neutral,3,2,Long lines,Yes,3,Neutral,Neutral,Strongly Agree,Reasonable,Private Job,65,4,5,3.038461538,22
Female,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Neutral,Strongly Agree,1,2,Short consultation,Yes,3,Neutral,Agree,Neutral,Reasonable,Private Job,65,3,4,3.038461538,22
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Agree,Agree,Agree,4,3,Cost,Yes,3,Neutral,Strongly Agree,Strongly Agree,Reasonable,Student,65,3,3,3.038461538,75
Male,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Neutral,Agree,1,2,Long lines,Maybe,3,Neutral,Strongly Agree,Neutral,Reasonable,Student,65,4,3,3.038461538,75
Female,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Strongly Agree,Disagree,3,3,Short consultation,Maybe,1,Agree,Agree,Neutral,Expensive,Business,65,4,4,3.038461538,45
Female,15-25,Private,Follow-up/Routine Checkup,15-30 minutes,Neutral,Neutral,Disagree,3,2,Long lines,Maybe,5,Disagree,Agree,Agree,Expensive,Private Job,65,4,5,3.038461538,22
Female,15-25,Government,OPD (Doctor Consultation ),30-60 minutes,Neutral,Neutral,Agree,4,2,Long lines,Yes,4,Disagree,Neutral,Disagree,Expensive,Student,65,3,3,3.038461538,10
